Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity
1090.55,1091.1,1091.1,1021.85,1077.3,1075.5,1044.44,17520006
1075.5,1149.9,1149.9,1065.4,1068.7,1070.7,1078.03,4890040
1070.7,1079.9,1094.5,1070.65,1087,1088,1084.64,5415538
1088,1088,1115,1078,1101.9,1106.05,1103.49,5988404
1106.05,1108,1113.8,1096,1103.9,1103.15,1104.79,3453926
1103.15,1134.7,1149.7,1050,1083.5,1081.5,1059.88,43122135
1081.5,1095,1137.3,1077,1079.1,1084.35,1092.17,7495359
1084.35,1088,1092,1068.6,1088,1088.6,1085.06,3511078
1088.6,1086,1124.8,1086,1121.05,1121.7,1113.84,5610718
1121.7,1125.8,1138.9,1105.05,1107.9,1110.75,1120,4289733
1110.75,1107,1116.45,1091.95,1099,1099.5,1105.59,3239525
1099.5,1100,1106.05,1082.65,1085.9,1085,1095.62,2986363
1085,1095,1097.1,1072,1076.4,1077.5,1084.31,4418747
1077.5,1075,1077,1050.25,1053,1054.05,1062.58,4254235
1054.05,1041,1071,1029.5,1051.7,1053.85,1053.09,9113512
1053.85,1049.65,1054.4,1036.7,1041.35,1042.05,1045.5,3061478
1042.05,1034,1050,1020,1026,1027.55,1032.66,5678803
1027.55,1040,1046.45,1025,1038.35,1037.15,1037.35,7594324
1037.15,1032.9,1051.8,1018.1,1048,1046.2,1035.23,5333541
1046.2,1037.5,1055,1035.55,1046,1045.4,1046.54,2773369
1045.4,1052,1056.35,1024.1,1027,1027.3,1037.43,3942831
1027.3,1031.1,1048.4,1031.1,1033,1033.95,1039.18,3440695
1033.95,1038,1038,1014,1020,1019.15,1027.44,2737193
1019.15,975,1007.75,975,981.55,981.7,990.64,6830723
981.7,990,997.5,985.4,993.75,993.75,992.34,647435
993.75,985,1004.35,975,990.7,994.35,987.98,5919146
994.35,993.75,998,982.7,992.25,993.25,991.87,3266918
993.25,999.9,999.9,982,983,985.1,989.41,4174214
985.1,989.25,1019.8,988.5,1018.8,1015.15,1003.95,5360299
1015.15,1027,1027,1007.6,1009,1010,1016.13,3085557
1010,1010.1,1021,1005,1020,1017.75,1013.91,2301434
1017.75,1025,1037.8,1022.05,1031,1032.55,1029.06,3572783
1032.55,1030,1038.35,995,998,997.8,1004.53,4533745
997.8,995,995,977.15,984,983.2,984.36,4058388
983.2,995.3,1000,970,971,977.95,985.82,2901188
977.95,974,983,970,976.95,975.35,976.1,2966309
975.35,970,985.7,966.65,978.3,978.8,980.37,2854453
978.8,980.1,985,959.15,968.2,963.1,968.68,4332580
963.1,969,995,966.25,979.3,978.95,983.6,5161233
978.95,985,999,979.4,986.6,983.2,986.75,4162636
983.2,988,1028,988,1024,1024.8,1013.96,6085791
1024.8,1040,1040,1008,1013,1014,1017.9,4750237
1014,1022,1026,1005.1,1010.05,1009.8,1012.5,2691454
1009.8,1021.2,1027,1002,1005,1004.1,1012.96,2729580
1004.1,1006.5,1011.8,988.05,988.25,990.35,996.13,3990953
990.35,995,1018.9,989.3,1010,1008.75,1009.65,5670503
1008.75,1010,1020,1007,1019,1016.45,1013.43,3333605
1016.45,1015,1033,1014,1022,1021.6,1024.47,5105006
1021.6,1022,1031.95,1013.1,1029.6,1028.05,1024.23,4144602
1028.05,1032,1071.8,1029,1070,1067.95,1052.31,7771535
1067.95,1074.8,1082.5,1065.8,1068.5,1069.7,1074.14,4937276
1069.7,1074,1081.6,1064.1,1076.5,1076.95,1073.07,3495591
1076.95,1078.8,1096.5,1070.15,1092.7,1092.05,1083.87,4511717
1092.05,1062,1099,1062,1072.25,1073.95,1086.76,4678751
1073.95,1077.95,1093.95,1076.95,1091.35,1091.4,1086.62,4572931
1091.4,1096,1097,1077.4,1090.2,1091.45,1087.84,5250073
1091.45,1097,1111,1095.15,1096.8,1100.45,1104.22,4131759
1100.45,1103.7,1109.95,1091,1094.3,1093.3,1101.74,4628760
1093.3,1096,1105.7,1083,1085,1088.15,1096.16,4329090
1088.15,1092.9,1095,1071.3,1074.5,1074.25,1078.12,4948302
1074.25,1078,1098.5,1077,1089.8,1092.05,1089.63,2861856
1092.05,1096.5,1129.65,1096.5,1127.9,1125.9,1115.27,4551762
1125.9,1128,1133,1120.2,1122.9,1123.2,1124.85,2853138
1123.2,1125,1149.7,1123.1,1132,1129.7,1133.72,4621626
1129.7,1133,1136.5,1101.5,1105,1106.55,1118.21,3365528
1106.55,1108.2,1131,1108.2,1125,1124.7,1123.27,3846259
1124.7,1145,1145,1122.65,1127.15,1127.35,1129.83,2902957
1127.35,1128,1134,1111.3,1120.45,1120.9,1120.82,3193600
1120.9,1125,1134.9,1087.05,1092.2,1090.7,1108.72,5551581
1090.7,1086.1,1095,1071.15,1084.6,1084.25,1083.79,4158779
1084.25,1079.8,1079.8,1051,1060.85,1061.8,1062.5,3746293
1061.8,1069.85,1079.75,1054.35,1068,1063.2,1066.82,3828437
1063.2,1070,1073.7,1048.15,1055.7,1054.1,1058.74,4385951
1054.1,1050.5,1093.9,1050.05,1075.85,1075.75,1073.94,5851352
1075.75,1080,1096,1080,1088,1088.2,1089.19,5311168
1088.2,1080,1097.8,1063.5,1068.75,1071.25,1073.32,3806402
1071.25,1063,1068,1055,1061,1061.25,1060.26,3193352
1061.25,1053.95,1053.95,1012,1018.6,1017.25,1031.75,9168538
1017.25,1024,1039.9,1019.15,1036.4,1035.05,1029.37,5359600
1035.05,1040,1047.2,1030,1031.55,1033.6,1035.89,3616419
1033.6,1026,1032.6,1018.1,1023.95,1023.75,1024.91,2865346
1023.75,1024.2,1039,1013.5,1019.2,1021.15,1025.61,3965640
1021.15,1010,1023.55,1003.3,1021.5,1020.65,1015.54,3423392
1020.65,1019.8,1023.3,1004,1007,1007.85,1011.29,5454783
1007.85,976,1060,976,1040,1032.8,1032.46,16472546
1032.8,1051,1082,1040,1080.8,1079.4,1067.54,8697783
1079.4,1089,1089,1063.35,1066.35,1067.8,1074.7,6017564
1067.8,1076.05,1089.45,1064.05,1080.5,1082.95,1076.89,3496020
1082.95,1062,1093.4,1062,1073,1071.8,1080.44,2731043
1071.8,1067.7,1071,1035,1037,1043.65,1055.71,4151458
1043.65,1034.7,1034.7,1009,1014.3,1016.55,1015.35,4711513
1016.55,1020,1033.45,1007.8,1021.5,1020.6,1021.68,3530511
1020.6,1017,1017.75,995.1,997.3,998.65,1004.26,5965445
998.65,1001,1013,993.75,999.95,999.95,1003.39,4246454
999.95,989.9,999.85,976.1,995.65,995.55,988.5,4381347
995.55,1018,1048.95,1016.45,1021.05,1022.65,1030.55,5652017
1022.65,1025,1025,982.75,986.4,985.65,996.06,5770796
